group,query_zh,source,purpose,manual_url,notes
official_docs,AI 应用最新进展 官方文档,baidu,find official documentation,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E5%AE%98%E6%96%B9%E6%96%87%E6%A1%A3,prefer vendor/regulator domains
official_docs,AI 应用最新进展 开发者文档 API SDK,baidu,find API/SDK docs,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E5%BC%80%E5%8F%91%E8%80%85%E6%96%87%E6%A1%A3+API+SDK,verify on official site
official_docs,site:cloud.baidu.com AI 应用最新进展 API 文档,bing,find Baidu Cloud docs,https://cn.bing.com/search?q=site%3Acloud.baidu.com+AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+API+%E6%96%87%E6%A1%A3,use when Baidu/BCE is relevant
official_docs,site:help.aliyun.com AI 应用最新进展 API SDK,bing,find Alibaba Cloud docs,https://cn.bing.com/search?q=site%3Ahelp.aliyun.com+AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+API+SDK,use when Alibaba/Qwen/cloud is relevant
official_docs,site:cloud.tencent.com AI 应用最新进展 API SDK,bing,find Tencent Cloud docs,https://cn.bing.com/search?q=site%3Acloud.tencent.com+AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+API+SDK,use when Tencent/WeChat is relevant
vendor_product,AI 应用最新进展 产品 技术规格书,baidu,find product specification,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E4%BA%A7%E5%93%81+%E6%8A%80%E6%9C%AF%E8%A7%84%E6%A0%BC%E4%B9%A6,download only public docs
vendor_product,AI 应用最新进展 解决方案 白皮书,baidu,find whitepapers and solutions,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88+%E7%99%BD%E7%9A%AE%E4%B9%A6,treat marketing claims cautiously
files,AI 应用最新进展 技术规格书 filetype:pdf,baidu,find PDF datasheets,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E6%8A%80%E6%9C%AF%E8%A7%84%E6%A0%BC%E4%B9%A6+filetype%3Apdf,verify source domain
files,AI 应用最新进展 白皮书 PDF,360,find alternate PDF results,https://www.so.com/s?q=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E7%99%BD%E7%9A%AE%E4%B9%A6+PDF,cross-check with Baidu
code_repo,AI 应用最新进展 Python SDK GitHub,github,find GitHub repos,https://github.com/search?q=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+Python+SDK+GitHub&type=repositories,"check official org, license, releases"
code_repo,AI 应用最新进展 开源 SDK,gitee,find Gitee repos,https://search.gitee.com/?q=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E5%BC%80%E6%BA%90+SDK,cross-check mirrors with upstream
code_repo,AI 应用最新进展 示例代码,baidu,find example code,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E7%A4%BA%E4%BE%8B%E4%BB%A3%E7%A0%81,community code is secondary
developer_forums,AI 应用最新进展 CSDN 教程,baidu,find Chinese tutorials,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+CSDN+%E6%95%99%E7%A8%8B,do not treat as final proof
developer_forums,AI 应用最新进展 OSChina,baidu,find OSChina discussions,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+OSChina,secondary source
wechat_public,AI 应用最新进展 微信公众号,sogou_wechat,find public WeChat articles,https://weixin.sogou.com/weixin?type=2&query=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7,manual only; do not bypass expired signatures
wechat_public,AI 应用最新进展 案例 发布,sogou_wechat,find product launch/case articles,https://weixin.sogou.com/weixin?type=2&query=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E6%A1%88%E4%BE%8B+%E5%8F%91%E5%B8%83,manual public articles only
risk,AI 应用最新进展 行政处罚,baidu,find administrative penalties,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E8%A1%8C%E6%94%BF%E5%A4%84%E7%BD%9A,verify official notices
risk,AI 应用最新进展 诉讼 投诉,baidu,find litigation/complaints,https://www.baidu.com/s?wd=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E8%AF%89%E8%AE%BC+%E6%8A%95%E8%AF%89,verify with official/legal sources
risk,AI 应用最新进展 漏洞 CVE 数据泄露,bing,find security issues,https://cn.bing.com/search?q=AI+%E5%BA%94%E7%94%A8%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+%E6%BC%8F%E6%B4%9E+CVE+%E6%95%B0%E6%8D%AE%E6%B3%84%E9%9C%B2,verify CVE/advisories
broad_cn,中国热门 AI Skill 仓库 中国大陆,baidu,broad mainland discovery,https://www.baidu.com/s?wd=%E4%B8%AD%E5%9B%BD%E7%83%AD%E9%97%A8+AI+Skill+%E4%BB%93%E5%BA%93+%E4%B8%AD%E5%9B%BD%E5%A4%A7%E9%99%86,use native Chinese variants after first pass
