group,query_zh,source,purpose,manual_url,priority
terminology,AI Skill 仓库 智能体 技能库,baidu,Find how China calls 'skill repository',https://www.baidu.com/s?wd=AI+Skill+%E4%BB%93%E5%BA%93+%E6%99%BA%E8%83%BD%E4%BD%93+%E6%8A%80%E8%83%BD%E5%BA%93,medium
terminology,Agent Skills 技能库 MCP 插件,baidu,Find Agent Skills + MCP terminology,https://www.baidu.com/s?wd=Agent+Skills+%E6%8A%80%E8%83%BD%E5%BA%93+MCP+%E6%8F%92%E4%BB%B6,medium
terminology,智能体 插件 工作流 开源,gitee,Find open-source agent/plugin/workflow,https://search.gitee.com/?q=%E6%99%BA%E8%83%BD%E4%BD%93+%E6%8F%92%E4%BB%B6+%E5%B7%A5%E4%BD%9C%E6%B5%81+%E5%BC%80%E6%BA%90,medium
terminology,大模型 智能体 工具调用 MCP,baidu,Find LLM agent tool-calling + MCP,https://www.baidu.com/s?wd=%E5%A4%A7%E6%A8%A1%E5%9E%8B+%E6%99%BA%E8%83%BD%E4%BD%93+%E5%B7%A5%E5%85%B7%E8%B0%83%E7%94%A8+MCP,medium
repo_dify,langgenius dify agentic workflow,github,Dify official repo - 146k stars,https://github.com/search?q=langgenius+dify+agentic+workflow&type=repositories,high
repo_fastgpt,labring FastGPT RAG workflow,github,"FastGPT - 28.6k stars, knowledge-based",https://github.com/search?q=labring+FastGPT+RAG+workflow&type=repositories,high
repo_agentscope,agentscope-ai agentscope multi-agent,github,"AgentScope - 27.1k stars, Alibaba",https://github.com/search?q=agentscope-ai+agentscope+multi-agent&type=repositories,high
repo_qwen_agent,QwenLM Qwen-Agent MCP tool-calling,github,"Qwen-Agent - 16.6k stars, official",https://github.com/search?q=QwenLM+Qwen-Agent+MCP+tool-calling&type=repositories,high
repo_ms_agent,modelscope ms-agent Agent Skills v2,github,MS-Agent - closest to 'AI Skill 仓库',https://github.com/search?q=modelscope+ms-agent+Agent+Skills+v2&type=repositories,high
repo_aiwaves,aiwaves-cn agents self-evolving,github,"aiwaves Agents - 5.9k stars, Apache-2.0",https://github.com/search?q=aiwaves-cn+agents+self-evolving&type=repositories,high
repo_lightagent,wxai-space LightAgent MCP skill Qwen,github,"LightAgent - lightweight, supports Qwen/DeepSeek",https://github.com/search?q=wxai-space+LightAgent+MCP+skill+Qwen&type=repositories,high
modelscope_platform,ModelScope 智能体 MCP 官方文档,baidu,ModelScope official agent docs,https://www.baidu.com/s?wd=ModelScope+%E6%99%BA%E8%83%BD%E4%BD%93+MCP+%E5%AE%98%E6%96%B9%E6%96%87%E6%A1%A3,high
modelscope_skills,ModelScope Agent Skills v2 DeepResearch,bing,Find Agent Skills v2 features,https://cn.bing.com/search?q=ModelScope+Agent+Skills+v2+DeepResearch,high
modelscope_qwen,通义千问 Agent 官方文档 DashScope,baidu,Qwen Agent + DashScope integration,https://www.baidu.com/s?wd=%E9%80%9A%E4%B9%89%E5%8D%83%E9%97%AE+Agent+%E5%AE%98%E6%96%B9%E6%96%87%E6%A1%A3+DashScope,high
modelscope_workflow,ModelScope 工作流 可视化编排,baidu,ModelScope visual workflow orchestration,https://www.baidu.com/s?wd=ModelScope+%E5%B7%A5%E4%BD%9C%E6%B5%81+%E5%8F%AF%E8%A7%86%E5%8C%96%E7%BC%96%E6%8E%92,high
trend_2026,中国 AI 应用 智能体 最新进展 2026,baidu,Latest AI agent trends in China 2026,https://www.baidu.com/s?wd=%E4%B8%AD%E5%9B%BD+AI+%E5%BA%94%E7%94%A8+%E6%99%BA%E8%83%BD%E4%BD%93+%E6%9C%80%E6%96%B0%E8%BF%9B%E5%B1%95+2026,medium
trend_wechat,微信 AI 智能体 Tencent agent WeChat,bing,WeChat AI agent integration (FT news),https://cn.bing.com/search?q=%E5%BE%AE%E4%BF%A1+AI+%E6%99%BA%E8%83%BD%E4%BD%93+Tencent+agent+WeChat,medium
trend_mcp,MCP 智能体 开源 GitHub 2026,github,MCP-based agents 2026,https://github.com/search?q=MCP+%E6%99%BA%E8%83%BD%E4%BD%93+%E5%BC%80%E6%BA%90+GitHub+2026&type=repositories,medium
trend_deepresearch,AI Deep Research 代码生成 视频生成,baidu,Deep research + code/video generation,https://www.baidu.com/s?wd=AI+Deep+Research+%E4%BB%A3%E7%A0%81%E7%94%9F%E6%88%90+%E8%A7%86%E9%A2%91%E7%94%9F%E6%88%90,medium
compliance_cac,生成式人工智能服务管理暂行办法 CAC 2023,baidu,CAC generative AI regulation,https://www.baidu.com/s?wd=%E7%94%9F%E6%88%90%E5%BC%8F%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E6%9C%8D%E5%8A%A1%E7%AE%A1%E7%90%86%E6%9A%82%E8%A1%8C%E5%8A%9E%E6%B3%95+CAC+2023,medium
compliance_algorithm,算法备案 大模型备案 中国,baidu,Algorithm filing requirements,https://www.baidu.com/s?wd=%E7%AE%97%E6%B3%95%E5%A4%87%E6%A1%88+%E5%A4%A7%E6%A8%A1%E5%9E%8B%E5%A4%87%E6%A1%88+%E4%B8%AD%E5%9B%BD,medium
risk_security,AI 智能体 数据泄露 提示注入 安全,bing,"Agent security risks: data leak, prompt injection",https://cn.bing.com/search?q=AI+%E6%99%BA%E8%83%BD%E4%BD%93+%E6%95%B0%E6%8D%AE%E6%B3%84%E9%9C%B2+%E6%8F%90%E7%A4%BA%E6%B3%A8%E5%85%A5+%E5%AE%89%E5%85%A8,medium
csdn_tutorial,CSDN 智能体 MCP 教程 2026,baidu,CSDN tutorials (secondary source),https://www.baidu.com/s?wd=CSDN+%E6%99%BA%E8%83%BD%E4%BD%93+MCP+%E6%95%99%E7%A8%8B+2026,medium
oschina_discuss,开源中国 AI Agent 讨论,baidu,OSChina discussions,https://www.baidu.com/s?wd=%E5%BC%80%E6%BA%90%E4%B8%AD%E5%9B%BD+AI+Agent+%E8%AE%A8%E8%AE%BA,medium
zhihu_analysis,知乎 AI Agent 应用 中国,baidu,Zhihu analysis articles,https://www.baidu.com/s?wd=%E7%9F%A5%E4%B9%8E+AI+Agent+%E5%BA%94%E7%94%A8+%E4%B8%AD%E5%9B%BD,medium
