group,query_zh,source,purpose,manual_url,notes
official_docs,Alibaba ModelScope MCP 官方文档,baidu,find official documentation,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E5%AE%98%E6%96%B9%E6%96%87%E6%A1%A3,prefer vendor/regulator domains
official_docs,Alibaba ModelScope MCP 开发者文档 API SDK,baidu,find API/SDK docs,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E5%BC%80%E5%8F%91%E8%80%85%E6%96%87%E6%A1%A3+API+SDK,verify on official site
official_docs,site:cloud.baidu.com Alibaba ModelScope MCP API 文档,bing,find Baidu Cloud docs,https://cn.bing.com/search?q=site%3Acloud.baidu.com+Alibaba+ModelScope+MCP+API+%E6%96%87%E6%A1%A3,use when Baidu/BCE is relevant
official_docs,site:help.aliyun.com Alibaba ModelScope MCP API SDK,bing,find Alibaba Cloud docs,https://cn.bing.com/search?q=site%3Ahelp.aliyun.com+Alibaba+ModelScope+MCP+API+SDK,use when Alibaba/Qwen/cloud is relevant
official_docs,site:cloud.tencent.com Alibaba ModelScope MCP API SDK,bing,find Tencent Cloud docs,https://cn.bing.com/search?q=site%3Acloud.tencent.com+Alibaba+ModelScope+MCP+API+SDK,use when Tencent/WeChat is relevant
vendor_product,Alibaba ModelScope MCP 产品 技术规格书,baidu,find product specification,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E4%BA%A7%E5%93%81+%E6%8A%80%E6%9C%AF%E8%A7%84%E6%A0%BC%E4%B9%A6,download only public docs
vendor_product,Alibaba ModelScope MCP 解决方案 白皮书,baidu,find whitepapers and solutions,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88+%E7%99%BD%E7%9A%AE%E4%B9%A6,treat marketing claims cautiously
files,Alibaba ModelScope MCP 技术规格书 filetype:pdf,baidu,find PDF datasheets,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E6%8A%80%E6%9C%AF%E8%A7%84%E6%A0%BC%E4%B9%A6+filetype%3Apdf,verify source domain
files,Alibaba ModelScope MCP 白皮书 PDF,360,find alternate PDF results,https://www.so.com/s?q=Alibaba+ModelScope+MCP+%E7%99%BD%E7%9A%AE%E4%B9%A6+PDF,cross-check with Baidu
code_repo,Alibaba ModelScope MCP Python SDK GitHub,github,find GitHub repos,https://github.com/search?q=Alibaba+ModelScope+MCP+Python+SDK+GitHub&type=repositories,"check official org, license, releases"
code_repo,Alibaba ModelScope MCP 开源 SDK,gitee,find Gitee repos,https://search.gitee.com/?q=Alibaba+ModelScope+MCP+%E5%BC%80%E6%BA%90+SDK,cross-check mirrors with upstream
code_repo,Alibaba ModelScope MCP 示例代码,baidu,find example code,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E7%A4%BA%E4%BE%8B%E4%BB%A3%E7%A0%81,community code is secondary
developer_forums,Alibaba ModelScope MCP CSDN 教程,baidu,find Chinese tutorials,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+CSDN+%E6%95%99%E7%A8%8B,do not treat as final proof
developer_forums,Alibaba ModelScope MCP OSChina,baidu,find OSChina discussions,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+OSChina,secondary source
wechat_public,Alibaba ModelScope MCP 微信公众号,sogou_wechat,find public WeChat articles,https://weixin.sogou.com/weixin?type=2&query=Alibaba+ModelScope+MCP+%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7,manual only; do not bypass expired signatures
wechat_public,Alibaba ModelScope MCP 案例 发布,sogou_wechat,find product launch/case articles,https://weixin.sogou.com/weixin?type=2&query=Alibaba+ModelScope+MCP+%E6%A1%88%E4%BE%8B+%E5%8F%91%E5%B8%83,manual public articles only
risk,Alibaba ModelScope MCP 行政处罚,baidu,find administrative penalties,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E8%A1%8C%E6%94%BF%E5%A4%84%E7%BD%9A,verify official notices
risk,Alibaba ModelScope MCP 诉讼 投诉,baidu,find litigation/complaints,https://www.baidu.com/s?wd=Alibaba+ModelScope+MCP+%E8%AF%89%E8%AE%BC+%E6%8A%95%E8%AF%89,verify with official/legal sources
risk,Alibaba ModelScope MCP 漏洞 CVE 数据泄露,bing,find security issues,https://cn.bing.com/search?q=Alibaba+ModelScope+MCP+%E6%BC%8F%E6%B4%9E+CVE+%E6%95%B0%E6%8D%AE%E6%B3%84%E9%9C%B2,verify CVE/advisories
broad_cn,Qwen Agent 中国大陆,baidu,broad mainland discovery,https://www.baidu.com/s?wd=Qwen+Agent+%E4%B8%AD%E5%9B%BD%E5%A4%A7%E9%99%86,use native Chinese variants after first pass
